[[ 0.16453952  0.83546048]]
[[ 0.09649442  0.90350556]]
[[ 0.06165048  0.93834949]]
[[ 0.10246044  0.8975395 ]]
[[ 0.06383235  0.93616766]]
[[ 0.33094493  0.6690551 ]]
[[ 0.08040678  0.91959316]]
[[ 0.10544462  0.89455539]]
[[ 0.49502105  0.50497895]]
[[ 0.88788849  0.11211153]]
[[ 0.3856414   0.61435854]]
[[ 0.05914819  0.94085175]]
[[ 0.06206538  0.93793464]]
[[ 0.06263853  0.93736148]]
[[ 0.14302036  0.85697967]]
[[ 0.06239372  0.93760633]]
[[ 0.11852179  0.88147813]]
[[ 0.05274615  0.94725382]]
[[ 0.09763345  0.90236658]]
[[ 0.09810784  0.90189213]]
[[ 0.11265366  0.88734627]]
[[ 0.08283597  0.91716403]]
[[ 0.07901485  0.92098516]]
[[ 0.09699676  0.90300328]]
[[ 0.09672456  0.90327543]]
[[ 0.90102792  0.09897203]]
[[ 0.30881712  0.69118279]]
[[ 0.07589827  0.92410171]]
[[ 0.55966085  0.44033912]]
[[ 0.07822212  0.92177784]]
[[ 0.1059439   0.89405608]]
[[ 0.07372779  0.92627215]]
[[ 0.11656839  0.88343161]]
[[ 0.16149005  0.83850998]]
[[ 0.12525111  0.87474889]]
[[ 0.13496271  0.86503726]]
[[ 0.07850515  0.92149484]]
[[ 0.09858825  0.90141177]]
[[ 0.08189117  0.91810882]]
[[ 0.11129378  0.88870621]]
[[ 0.0842394   0.91576058]]
[[ 0.11119689  0.88880306]]
[[ 0.00354388  0.99645609]]
[[ 0.15434267  0.84565735]]
[[ 0.01357426  0.98642576]]
[[ 0.07575617  0.92424381]]
[[ 0.09431062  0.90568936]]
[[ 0.28358281  0.71641713]]
[[ 0.14859807  0.85140193]]
[[ 0.44095483  0.55904514]]
[[ 0.81824654  0.1817534 ]]
[[ 0.08582336  0.91417658]]
[[ 0.08640192  0.91359806]]
[[ 0.07774314  0.92225689]]
[[ 0.0840358   0.91596419]]
[[ 0.08265568  0.91734427]]
[[ 0.07894006  0.92105997]]
[[ 0.07575271  0.92424726]]
[[ 0.08731131  0.91268861]]
[[ 0.06864535  0.93135464]]
[[ 0.04804862  0.95195138]]
[[ 0.04873158  0.95126837]]
[[ 0.22408122  0.77591872]]
[[ 0.09506764  0.90493238]]
