[[ 0.06163005  0.93836999]]
[[ 0.46460563  0.53539443]]
[[ 0.02507037  0.97492969]]
[[ 0.03824271  0.9617573 ]]
[[ 0.45110497  0.54889506]]
[[ 0.27756533  0.7224347 ]]
[[ 0.9425509   0.05744908]]
[[ 0.36477575  0.63522428]]
[[ 0.91336858  0.08663142]]
[[ 0.48789594  0.51210409]]
[[ 0.25286156  0.74713844]]
[[ 0.03194855  0.96805143]]
[[ 0.4785023   0.52149773]]
[[ 0.56120616  0.43879387]]
[[ 0.29785496  0.70214504]]
[[ 0.28628758  0.71371239]]
[[ 0.4917064   0.50829363]]
[[ 0.45743406  0.54256594]]
[[ 0.2858524   0.71414763]]
[[ 0.29880515  0.70119488]]
[[ 0.28987983  0.7101202 ]]
[[ 0.2949937  0.7050063]]
[[ 0.29265112  0.70734888]]
[[ 0.29313999  0.70686007]]
[[ 0.28876901  0.71123105]]
[[ 0.28160447  0.71839547]]
[[ 0.28984663  0.7101534 ]]
[[ 0.28577435  0.71422571]]
[[ 0.29177439  0.70822561]]
[[ 0.28781453  0.7121855 ]]
[[ 0.28507847  0.71492159]]
[[ 0.29021391  0.70978606]]
[[ 0.28050238  0.71949756]]
[[ 0.287907  0.712093]]
[[ 0.28001365  0.71998632]]
[[ 0.28070271  0.71929729]]
[[ 0.23133455  0.76866543]]
[[ 0.2813752   0.71862483]]
[[ 0.27606368  0.72393626]]
[[ 0.27993712  0.72006285]]
[[ 0.28347746  0.71652251]]
[[ 0.02780457  0.97219545]]
[[ 0.12415576  0.87584418]]
[[ 0.00476635  0.9952336 ]]
[[ 0.77081764  0.22918233]]
[[ 0.14048949  0.85951054]]
[[ 0.21592024  0.78407973]]
[[ 0.161751    0.83824903]]
[[ 0.25172648  0.74827355]]
[[ 0.85735601  0.14264393]]
[[ 0.11451406  0.88548595]]
[[ 0.01052514  0.98947489]]
[[ 0.06840435  0.93159562]]
[[ 0.61567396  0.38432607]]
[[ 0.19172655  0.80827349]]
[[ 0.26916564  0.73083442]]
[[ 0.3126047   0.68739533]]
[[ 0.66392106  0.336079  ]]
[[ 0.19741072  0.8025893 ]]
[[ 0.27842095  0.72157907]]
[[ 0.40599629  0.5940038 ]]
[[ 0.26350239  0.73649758]]
[[ 0.17685404  0.82314599]]
[[ 0.23179077  0.76820922]]
[[ 0.13639598  0.86360401]]
[[ 0.21371627  0.78628373]]
[[ 0.06766552  0.93233454]]
[[ 0.12179968  0.87820029]]
[[ 0.35061303  0.64938694]]
[[ 0.20736992  0.79263008]]
[[ 0.01115459  0.98884541]]
[[ 0.53163558  0.46836439]]
[[ 0.03580731  0.96419263]]
[[ 0.26546368  0.73453629]]
[[ 0.11782843  0.88217151]]
[[ 0.03730705  0.96269298]]
[[ 0.36434346  0.63565654]]
[[ 0.1336406   0.86635941]]
[[ 0.79322416  0.20677584]]
[[ 0.56517786  0.43482217]]
[[ 0.16380355  0.83619642]]
[[ 0.68917531  0.31082469]]
[[ 0.35340565  0.64659429]]
[[ 0.02153315  0.97846687]]
[[ 0.22534528  0.77465469]]
[[ 0.18592413  0.81407583]]
[[ 0.12377272  0.87622726]]
[[ 0.2109119   0.78908813]]
[[ 0.28704479  0.71295518]]
[[ 0.49882799  0.50117195]]
[[ 0.06785591  0.93214411]]
[[ 0.01007924  0.98992074]]
[[ 0.67958653  0.32041347]]
[[ 0.03599088  0.96400917]]
[[ 0.03919734  0.96080273]]
[[ 0.37442094  0.625579  ]]
[[ 0.09285726  0.9071427 ]]
[[ 0.13554858  0.86445141]]
[[ 0.05892373  0.94107628]]
[[ 0.03488294  0.96511704]]
[[ 0.02059341  0.97940665]]
[[ 0.57814759  0.42185244]]
[[ 0.13373828  0.86626172]]
[[ 0.08720796  0.91279203]]
[[ 0.06896178  0.93103826]]
[[ 0.09156571  0.90843433]]
[[ 0.32378852  0.67621154]]
[[ 0.59471697  0.405283  ]]
[[ 0.22949365  0.77050632]]
[[ 0.40525016  0.59474981]]
[[ 0.18340115  0.81659883]]
[[ 0.41506937  0.58493072]]
[[ 0.41278973  0.5872103 ]]
[[ 0.02913438  0.97086561]]
[[ 0.0346957   0.96530426]]
[[ 0.03759961  0.96240038]]
[[ 0.60754496  0.39245498]]
[[ 0.17141585  0.82858413]]
[[ 0.26140636  0.73859364]]
[[ 0.16051558  0.83948445]]
[[ 0.32153124  0.67846882]]
[[ 0.13468263  0.86531734]]
[[ 0.13503151  0.86496848]]
[[ 0.03990111  0.96009892]]
[[ 0.05940538  0.94059455]]
[[ 0.05084324  0.94915682]]
[[ 0.38833359  0.61166638]]
[[ 0.06006075  0.93993926]]
[[ 0.07485155  0.92514849]]
[[ 0.50388551  0.49611455]]
[[ 0.10158077  0.89841926]]
[[ 0.02182104  0.97817892]]
[[ 0.32291359  0.67708641]]
[[ 0.03754372  0.96245629]]
[[ 0.03685549  0.96314448]]
[[ 0.03814135  0.96185869]]
[[ 0.03809388  0.96190608]]
[[ 0.0593694   0.94063061]]
[[ 0.07561388  0.92438608]]
[[ 0.03498307  0.9650169 ]]
[[ 0.14479682  0.85520321]]
[[ 0.50107747  0.49892256]]
[[ 0.03313987  0.96686012]]
[[ 0.1071076   0.89289242]]
[[ 0.0351879  0.9648121]]
[[ 0.03577783  0.96422225]]
[[ 0.13613228  0.8638677 ]]
[[ 0.4617373   0.53826267]]
[[ 0.07877278  0.92122728]]
[[ 0.69971782  0.30028215]]
[[ 0.06923915  0.93076086]]
[[ 0.12331014  0.87668985]]
[[ 0.18394263  0.81605738]]
[[ 0.34154221  0.65845782]]
[[ 0.03313591  0.96686411]]
[[ 0.20547311  0.79452682]]
[[ 0.50781798  0.49218196]]
[[ 0.15143497  0.84856498]]
[[ 0.01229709  0.98770291]]
[[ 0.12429348  0.87570649]]
[[ 0.3458977   0.65410227]]
[[ 0.49997875  0.50002128]]
[[ 0.79673046  0.20326945]]
[[ 0.15334108  0.84665895]]
[[ 0.4003222   0.59967786]]
[[ 0.75352782  0.24647214]]
[[ 0.06062125  0.93937874]]
[[ 0.60001779  0.39998221]]
[[ 0.03473187  0.96526819]]
[[ 0.21652186  0.78347814]]
[[ 0.12949447  0.87050551]]
[[ 0.14175221  0.85824776]]
[[ 0.11627626  0.88372374]]
[[ 0.67542589  0.32457408]]
[[ 0.06844681  0.93155324]]
[[ 0.13158637  0.86841363]]
[[ 0.13605811  0.86394191]]
[[ 0.05043231  0.94956768]]
[[ 0.11469284  0.88530719]]
[[ 0.10129645  0.89870358]]
[[ 0.15636832  0.84363168]]
[[ 0.0096929   0.99030709]]
[[ 0.0321299   0.96787018]]
[[ 0.01735548  0.9826445 ]]
[[ 0.84518355  0.15481649]]
[[ 0.04468323  0.95531678]]
[[ 0.01655516  0.98344481]]
[[ 0.12200959  0.87799037]]
[[ 0.07857445  0.92142552]]
[[ 0.19131842  0.80868161]]
[[ 0.42930216  0.57069784]]
[[ 0.43503314  0.5649668 ]]
[[ 0.48009586  0.5199042 ]]
[[ 0.35406294  0.64593697]]
[[ 0.36169848  0.63830149]]
[[ 0.17577776  0.82422227]]
[[ 0.10405803  0.89594197]]
[[ 0.91185158  0.08814844]]
[[ 0.49537677  0.50462323]]
[[ 0.01911233  0.98088765]]
[[ 0.11326818  0.8867318 ]]
[[ 0.30387703  0.696123  ]]
[[ 0.08107984  0.91892016]]
[[ 0.67368776  0.32631224]]
[[ 0.35843882  0.64156115]]
[[ 0.5396927   0.46030733]]
[[ 0.03461533  0.96538472]]
[[ 0.86767042  0.13232961]]
[[ 0.04022706  0.95977288]]
[[ 0.1727208   0.82727921]]
[[ 0.25042972  0.74957025]]
[[ 0.25000495  0.74999511]]
[[ 0.5950408   0.40495923]]
[[ 0.07642153  0.92357844]]
[[ 0.06472894  0.93527108]]
[[ 0.10109859  0.8989014 ]]
[[ 0.94642353  0.05357641]]
[[ 0.77890712  0.22109285]]
[[ 0.09814519  0.90185481]]
[[ 0.48583892  0.51416117]]
[[ 0.19347471  0.80652529]]
[[ 0.11490966  0.88509029]]
[[ 0.05839839  0.94160157]]
[[ 0.07395948  0.92604047]]
[[ 0.14038996  0.85961008]]
[[ 0.9469201   0.05307988]]
[[ 0.9687084   0.03129157]]
[[ 0.07401893  0.9259811 ]]
[[ 0.15097985  0.84902018]]
[[ 0.60505301  0.39494699]]
[[ 0.70858955  0.29141042]]
[[ 0.11521263  0.88478738]]
[[ 0.03458418  0.96541584]]
[[ 0.03363347  0.96636647]]
[[ 0.17555372  0.82444626]]
[[ 0.10321987  0.89678013]]
[[ 0.00757439  0.99242556]]
[[ 0.21212873  0.78787124]]
[[ 0.15924865  0.84075129]]
[[ 0.32197174  0.67802829]]
[[ 0.07289794  0.92710209]]
[[ 0.78054285  0.21945715]]
[[ 0.67386413  0.32613593]]
[[ 0.37975398  0.62024605]]
[[ 0.19769846  0.80230153]]
[[ 0.11695987  0.88304007]]
[[ 0.05864647  0.9413535 ]]
[[ 0.85409957  0.14590043]]
[[ 0.22243208  0.77756792]]
[[ 0.44994718  0.55005288]]
[[ 0.010021    0.98997903]]
[[ 0.01102187  0.98897809]]
[[ 0.00848827  0.99151176]]
[[ 0.01092992  0.98907006]]
[[ 0.00919729  0.99080265]]
[[ 0.0100532   0.98994678]]
[[ 0.00714867  0.99285138]]
[[ 0.0914211   0.90857887]]
[[ 0.00644173  0.99355823]]
[[ 0.00881104  0.991189  ]]
[[ 0.00556737  0.99443263]]
[[ 0.28559166  0.71440828]]
[[ 0.15893671  0.84106332]]
[[ 0.02878066  0.97121936]]
[[ 0.14950991  0.85049003]]
[[ 0.49429193  0.50570804]]
[[ 0.08209404  0.91790599]]
[[ 0.03704596  0.96295398]]
[[ 0.18455657  0.8154434 ]]
[[ 0.25891811  0.74108189]]
[[ 0.10042577  0.89957422]]
[[ 0.2571812   0.74281877]]
[[ 0.86749256  0.13250741]]
[[ 0.47618005  0.52381998]]
[[ 0.01888604  0.98111397]]
[[ 0.11519527  0.88480473]]
[[ 0.01240868  0.98759139]]
[[ 0.10036907  0.89963096]]
[[ 0.7857244  0.2142756]]
[[ 0.3999404   0.60005957]]
[[ 0.60036105  0.39963901]]
[[ 0.14685647  0.85314351]]
[[ 0.04966817  0.95033175]]
[[ 0.05039091  0.94960904]]
[[ 0.05703023  0.94296974]]
[[ 0.05676015  0.94323981]]
[[ 0.1198025   0.88019753]]
[[ 0.27556646  0.72443354]]
[[ 0.21423919  0.78576082]]
[[ 0.19727685  0.80272317]]
[[ 0.35380232  0.64619774]]
[[ 0.0575642  0.9424358]]
[[ 0.03514251  0.96485746]]
[[ 0.09149741  0.90850264]]
[[ 0.26944229  0.73055768]]
[[ 0.13720965  0.86279029]]
[[ 0.05577924  0.94422072]]
[[ 0.4645395   0.53546053]]
[[ 0.20935357  0.79064649]]
[[ 0.09260231  0.90739763]]
[[ 0.12118526  0.8788147 ]]
[[ 0.03667816  0.96332186]]
[[ 0.28075019  0.71924984]]
[[ 0.16490535  0.83509463]]
[[ 0.88318521  0.11681482]]
[[ 0.41932815  0.58067179]]
[[ 0.06815598  0.931844  ]]
[[ 0.11633519  0.88366479]]
[[ 0.03539811  0.96460187]]
[[ 0.35416454  0.64583546]]
[[ 0.04365512  0.9563449 ]]
[[ 0.15410137  0.84589857]]
[[ 0.51209021  0.48790976]]
[[ 0.69508034  0.30491963]]
[[ 0.11648694  0.88351303]]
[[ 0.11633017  0.88366985]]
[[ 0.774028    0.22597203]]
[[ 0.3397797   0.66022032]]
[[ 0.08555288  0.91444707]]
[[ 0.64077395  0.35922599]]
[[ 0.29753527  0.70246476]]
[[ 0.09257654  0.90742344]]
[[ 0.06704795  0.93295211]]
[[ 0.1139752   0.88602477]]
[[ 0.03695356  0.96304643]]
