[[ 0.84163755  0.15836246]]
[[ 0.94569439  0.05430561]]
[[ 0.96857655  0.03142345]]
[[ 0.41043493  0.58956498]]
[[ 0.14033674  0.85966325]]
[[ 0.87680352  0.12319648]]
[[ 0.15535429  0.84464568]]
[[ 0.83470458  0.16529542]]
[[ 0.12014516  0.8798548 ]]
[[ 0.9786033   0.02139675]]
[[ 0.74812114  0.25187886]]
[[ 0.31332117  0.68667883]]
[[ 0.97919524  0.02080473]]
[[ 0.85391718  0.14608283]]
[[ 0.62294942  0.37705061]]
[[ 0.76486653  0.23513348]]
[[ 0.0963793   0.90362066]]
[[ 0.27539948  0.72460049]]
[[ 0.42699721  0.57300282]]
[[ 0.18670109  0.81329888]]
[[ 0.93127698  0.06872296]]
[[ 0.48276737  0.51723272]]
[[ 0.19457002  0.80543   ]]
[[ 0.73163122  0.26836872]]
[[ 0.8944633   0.10553673]]
[[ 0.16365623  0.83634377]]
[[ 0.42610228  0.57389766]]
[[ 0.11789     0.88210994]]
[[ 0.07574815  0.92425185]]
[[ 0.04451013  0.95548993]]
[[ 0.79505259  0.20494734]]
[[ 0.13795397  0.86204606]]
[[ 0.97620606  0.02379395]]
[[ 0.32648963  0.67351037]]
[[ 0.97177839  0.02822153]]
[[ 0.42554361  0.57445633]]
[[ 0.91294134  0.08705869]]
[[ 0.08970947  0.9102906 ]]
[[ 0.37678045  0.62321949]]
[[ 0.1575164   0.84248358]]
[[ 0.56696683  0.43303308]]
[[ 0.57866281  0.42133719]]
[[ 0.83091271  0.16908732]]
[[ 0.37705538  0.62294465]]
[[ 0.18012798  0.81987208]]
[[ 0.85976118  0.14023882]]
[[ 0.65334296  0.34665704]]
[[ 0.14963548  0.85036451]]
[[ 0.83513045  0.16486959]]
[[ 0.51187998  0.48812008]]
[[ 0.01162199  0.98837799]]
[[ 0.1275457   0.87245429]]
[[ 0.21737629  0.78262371]]
[[ 0.65517575  0.34482422]]
[[ 0.06976314  0.93023688]]
[[ 0.12290628  0.87709373]]
[[ 0.11601939  0.88398057]]
[[ 0.85910773  0.1408923 ]]
[[ 0.92574286  0.07425708]]
[[ 0.30637521  0.69362479]]
[[ 0.41507792  0.58492208]]
[[ 0.81840527  0.18159477]]
[[ 0.09538624  0.90461373]]
[[ 0.09532633  0.90467364]]
[[ 0.41593057  0.58406949]]
[[ 0.85857517  0.14142486]]
[[ 0.26413649  0.73586345]]
[[ 0.05462153  0.94537848]]
[[ 0.73795158  0.26204836]]
[[ 0.18063639  0.81936353]]
[[ 0.8474158  0.1525842]]
[[ 0.58787143  0.41212857]]
[[ 0.78522915  0.21477079]]
[[ 0.53609216  0.46390784]]
[[ 0.36656836  0.63343161]]
[[ 0.06188625  0.93811369]]
[[ 0.29637116  0.70362884]]
[[ 0.39729702  0.60270298]]
[[ 0.09524322  0.90475678]]
[[ 0.10331766  0.89668238]]
[[ 0.18078107  0.81921893]]
[[ 0.30541134  0.6945886 ]]
[[ 0.25766766  0.74233234]]
[[ 0.56779552  0.43220448]]
[[ 0.97396898  0.026031  ]]
[[ 0.02589381  0.97410619]]
[[ 0.32714218  0.67285782]]
[[ 0.21370643  0.78629363]]
