[[ 0.10454915  0.89545089]]
[[ 0.11496073  0.88503921]]
[[ 0.07534971  0.92465031]]
[[ 0.11132725  0.88867277]]
[[ 0.18116401  0.81883597]]
[[ 0.02816282  0.97183716]]
[[ 0.09236244  0.9076376 ]]
[[ 0.04962171  0.9503783 ]]
[[ 0.14216915  0.85783088]]
[[ 0.05456424  0.94543582]]
[[ 0.03098426  0.96901572]]
[[ 0.10645201  0.89354801]]
[[ 0.06423083  0.93576914]]
[[ 0.01874745  0.98125249]]
[[ 0.29064125  0.70935875]]
[[ 0.03924526  0.96075475]]
[[ 0.09908041  0.90091956]]
[[ 0.08279171  0.91720825]]
[[ 0.07888915  0.92111087]]
[[ 0.86993611  0.13006383]]
[[ 0.75758153  0.24241845]]
[[ 0.14048764  0.85951239]]
[[ 0.1154706   0.88452941]]
[[ 0.31727508  0.68272495]]
[[ 0.17025836  0.8297416 ]]
[[ 0.30605361  0.69394642]]
[[ 0.18920493  0.81079507]]
[[ 0.04979556  0.95020443]]
[[ 0.0282371  0.9717629]]
[[ 0.06085375  0.93914622]]
[[ 0.1415678   0.85843217]]
[[ 0.05846857  0.94153142]]
[[ 0.07060165  0.9293983 ]]
[[ 0.29896146  0.7010386 ]]
[[ 0.15421323  0.84578675]]
[[ 0.06179154  0.93820846]]
[[ 0.13538434  0.86461574]]
[[ 0.21187435  0.78812569]]
[[ 0.23193863  0.76806134]]
[[ 0.27716461  0.72283536]]
[[ 0.43158576  0.56841421]]
[[ 0.31344253  0.68655747]]
[[ 0.16664122  0.83335882]]
[[ 0.11799662  0.88200337]]
[[ 0.02057702  0.97942299]]
[[ 0.74716616  0.25283378]]
[[ 0.10751482  0.89248514]]
[[ 0.10818651  0.89181346]]
[[ 0.6038115   0.39618856]]
[[ 0.10006724  0.89993274]]
[[ 0.07644179  0.92355818]]
[[ 0.04005176  0.9599483 ]]
[[ 0.19827804  0.80172199]]
[[ 0.15971567  0.84028435]]
[[ 0.09390793  0.90609211]]
[[ 0.23531817  0.76468182]]
[[ 0.00512488  0.99487513]]
[[ 0.10593365  0.89406633]]
[[ 0.12779032  0.87220973]]
[[ 0.06450638  0.93549365]]
[[ 0.0209259   0.97907412]]
[[ 0.03970235  0.96029764]]
[[ 0.1568774  0.8431226]]
[[ 0.03903078  0.96096921]]
[[ 0.22152962  0.77847034]]
[[ 0.12890142  0.87109858]]
[[ 0.32078078  0.67921925]]
[[ 0.23209077  0.76790923]]
[[ 0.04009826  0.95990169]]
[[ 0.01026764  0.98973233]]
[[ 0.02533311  0.97466689]]
[[ 0.00924385  0.99075609]]
[[ 0.0395589   0.96044111]]
[[ 0.03802051  0.96197945]]
[[ 0.13279799  0.86720198]]
[[ 0.09538751  0.90461248]]
[[ 0.10543585  0.89456415]]
[[ 0.09253685  0.90746313]]
[[ 0.1517763   0.84822369]]
[[ 0.05922848  0.94077158]]
[[ 0.11007503  0.88992494]]
[[ 0.29749209  0.70250791]]
[[ 0.23689844  0.76310158]]
[[ 0.24613988  0.75386006]]
[[ 0.11868837  0.88131166]]
[[ 0.34866753  0.6513325 ]]
[[ 0.73536259  0.26463741]]
[[ 0.13463813  0.86536181]]
[[ 0.16546103  0.834539  ]]
[[ 0.12571062  0.87428939]]
[[ 0.12152702  0.87847298]]
[[ 0.16707784  0.83292216]]
[[ 0.17362197  0.82637805]]
[[ 0.13576831  0.86423171]]
[[ 0.62487203  0.375128  ]]
[[ 0.09763961  0.90236044]]
[[ 0.10432154  0.8956784 ]]
[[ 0.05388505  0.94611496]]
[[ 0.05413658  0.94586337]]
[[ 0.0984104   0.90158963]]
[[ 0.03427942  0.96572053]]
[[ 0.03447775  0.96552223]]
[[ 0.15767279  0.84232712]]
[[ 0.15594523  0.84405476]]
[[ 0.32072088  0.67927909]]
[[ 0.15670417  0.84329587]]
[[ 0.3360315  0.6639685]]
[[ 0.31277654  0.68722343]]
[[ 0.16193625  0.83806372]]
[[ 0.06447298  0.93552703]]
[[ 0.1180323   0.88196766]]
[[ 0.08192769  0.91807228]]
[[ 0.07960974  0.92039025]]
[[ 0.35879919  0.64120078]]
[[ 0.14813292  0.85186708]]
[[ 0.06433392  0.93566614]]
[[ 0.3073082  0.6926918]]
[[ 0.08265183  0.91734821]]
[[ 0.37995362  0.62004638]]
[[ 0.41393656  0.58606339]]
[[ 0.25692272  0.74307728]]
[[ 0.13305125  0.86694872]]
[[ 0.10693333  0.89306664]]
[[ 0.25595462  0.74404538]]
[[ 0.67948502  0.32051501]]
[[ 0.25462171  0.74537832]]
[[ 0.28029591  0.71970415]]
[[ 0.05375339  0.94624662]]
[[ 0.12713061  0.87286937]]
[[ 0.87178934  0.12821066]]
[[ 0.04234879  0.9576512 ]]
