[[ 0.1239076   0.87609243]]
[[ 0.10473669  0.89526325]]
[[ 0.08343672  0.91656327]]
[[ 0.08757216  0.91242784]]
[[ 0.23197219  0.76802784]]
[[ 0.39956099  0.60043907]]
[[ 0.1855094   0.81449062]]
[[ 0.02808892  0.97191107]]
[[ 0.05441097  0.94558907]]
[[ 0.04253876  0.95746124]]
[[ 0.39141071  0.60858923]]
[[ 0.10343424  0.89656574]]
[[ 0.97646946  0.02353056]]
[[ 0.02034289  0.97965711]]
[[ 0.13296905  0.86703098]]
[[ 0.01827349  0.98172659]]
[[ 0.03996596  0.96003407]]
[[ 0.01948852  0.98051149]]
[[ 0.12219699  0.87780303]]
[[ 0.03999178  0.96000826]]
[[ 0.05828888  0.94171107]]
[[ 0.79323047  0.20676956]]
[[ 0.19576147  0.8042385 ]]
[[ 0.25808766  0.74191231]]
[[ 0.13142455  0.86857545]]
[[ 0.22104384  0.77895617]]
[[ 0.03699337  0.96300662]]
[[ 0.29490072  0.70509928]]
[[ 0.88467538  0.11532459]]
[[ 0.21889377  0.78110617]]
[[ 0.57089216  0.42910784]]
[[ 0.05968389  0.94031614]]
[[ 0.9686119   0.03138816]]
[[ 0.30117631  0.69882369]]
[[ 0.93219483  0.06780515]]
[[ 0.10532875  0.89467126]]
[[ 0.03729163  0.96270829]]
[[ 0.01250345  0.9874965 ]]
[[ 0.32705531  0.67294466]]
[[ 0.36297482  0.63702512]]
[[ 0.23863655  0.76136345]]
[[ 0.27456358  0.72543633]]
[[ 0.03360696  0.96639311]]
[[ 0.11721417  0.88278586]]
[[ 0.31555185  0.68444812]]
[[ 0.22135229  0.77864766]]
[[ 0.1507123   0.84928769]]
[[ 0.97105002  0.02894997]]
[[ 0.07008628  0.92991376]]
[[ 0.23015013  0.7698499 ]]
[[ 0.77852052  0.22147946]]
[[ 0.1164354   0.88356459]]
[[ 0.771559  0.228441]]
[[ 0.88144785  0.11855212]]
[[ 0.77465272  0.22534728]]
[[ 0.82720125  0.17279872]]
[[ 0.03512909  0.96487093]]
[[ 0.13185315  0.86814684]]
[[ 0.55405599  0.44594404]]
[[ 0.42287597  0.57712406]]
[[ 0.05310812  0.9468919 ]]
[[ 0.19397756  0.80602247]]
[[ 0.13016276  0.86983728]]
[[ 0.51360542  0.48639458]]
[[ 0.78372502  0.21627498]]
[[ 0.06690341  0.93309653]]
[[ 0.05113547  0.94886458]]
[[ 0.12451352  0.87548643]]
[[ 0.16844098  0.83155906]]
[[ 0.19532374  0.80467629]]
[[ 0.15391335  0.84608662]]
[[ 0.22252311  0.77747691]]
[[ 0.03258471  0.96741527]]
[[ 0.18336892  0.81663102]]
[[ 0.87129784  0.12870213]]
[[ 0.5631249   0.43687508]]
