[[ 0.15187238  0.8481276 ]]
[[ 0.17173761  0.82826233]]
[[ 0.10319972  0.89680028]]
[[ 0.05579927  0.94420075]]
[[ 0.05503939  0.94496059]]
[[ 0.12413149  0.8758685 ]]
[[ 0.33734149  0.66265851]]
[[ 0.18929619  0.81070381]]
[[ 0.061174    0.93882596]]
[[ 0.96237099  0.03762895]]
[[ 0.5677526   0.43224743]]
[[ 0.90417427  0.09582575]]
[[ 0.05867387  0.94132614]]
[[ 0.04522467  0.95477527]]
[[ 0.1558989   0.84410113]]
[[ 0.80619729  0.19380264]]
[[ 0.21135832  0.78864169]]
[[ 0.39096168  0.60903835]]
[[ 0.20719381  0.79280621]]
[[ 0.33615613  0.66384387]]
[[ 0.04842826  0.9515717 ]]
[[ 0.1182854   0.88171458]]
[[ 0.06273684  0.93726313]]
[[ 0.14372206  0.85627794]]
[[ 0.12070277  0.8792972 ]]
[[ 0.45953771  0.54046237]]
[[ 0.14981708  0.85018295]]
[[ 0.79277039  0.20722955]]
[[ 0.25186041  0.74813962]]
[[ 0.09957124  0.90042877]]
[[ 0.12169019  0.87830985]]
[[ 0.0321915   0.96780849]]
[[ 0.09105928  0.90894067]]
[[ 0.11476582  0.88523412]]
[[ 0.06949873  0.93050134]]
[[ 0.07070699  0.92929298]]
[[ 0.67182547  0.32817447]]
[[ 0.18901369  0.81098628]]
[[ 0.14580254  0.85419738]]
[[ 0.19402339  0.80597663]]
[[ 0.93991458  0.06008537]]
[[ 0.19939417  0.80060583]]
[[ 0.76073456  0.23926541]]
[[ 0.11255576  0.88744432]]
[[ 0.1431402  0.8568598]]
[[ 0.64292461  0.35707542]]
[[ 0.25582159  0.74417841]]
[[ 0.71673197  0.28326803]]
[[ 0.02946731  0.97053266]]
[[ 0.11493214  0.88506788]]
[[ 0.03405419  0.96594584]]
[[ 0.05259961  0.94740039]]
[[ 0.16623649  0.83376348]]
[[ 0.9399212   0.06007877]]
[[ 0.86000931  0.1399907 ]]
[[ 0.59490472  0.40509528]]
[[ 0.10323022  0.89676982]]
[[ 0.032546    0.96745402]]
[[ 0.16792302  0.83207697]]
[[ 0.19102365  0.80897635]]
[[ 0.09823075  0.90176922]]
[[ 0.77706027  0.22293968]]
[[ 0.54891104  0.45108896]]
[[ 0.09312338  0.90687662]]
[[ 0.17822421  0.82177573]]
[[ 0.1640619  0.8359381]]
[[ 0.11284734  0.88715267]]
[[ 0.20865598  0.79134399]]
[[ 0.14325161  0.85674834]]
[[ 0.04715263  0.95284736]]
[[ 0.26507911  0.73492092]]
[[ 0.14324847  0.85675156]]
[[ 0.16622539  0.83377463]]
[[ 0.04238654  0.95761347]]
[[ 0.04703826  0.95296174]]
[[ 0.09281237  0.90718764]]
[[ 0.15319365  0.84680641]]
[[ 0.15555274  0.84444726]]
[[ 0.81485182  0.18514816]]
[[ 0.16443554  0.83556449]]
[[ 0.15921751  0.84078246]]
[[ 0.2013656   0.79863441]]
[[ 0.05659454  0.94340551]]
[[ 0.3727977   0.62720233]]
[[ 0.26408809  0.73591191]]
[[ 0.09937868  0.90062135]]
[[ 0.09150423  0.90849572]]
[[ 0.54771191  0.45228812]]
[[ 0.08957488  0.91042513]]
[[ 0.18449154  0.81550848]]
[[ 0.15283236  0.84716761]]
[[ 0.05024876  0.94975132]]
[[ 0.11510947  0.8848905 ]]
[[ 0.80261958  0.19738047]]
[[ 0.2643154   0.73568457]]
[[ 0.07855996  0.92144006]]
[[ 0.19151123  0.80848879]]
[[ 0.15533942  0.84466058]]
[[ 0.04968207  0.95031786]]
[[ 0.49081364  0.50918645]]
[[ 0.57725829  0.42274171]]
[[ 0.81457287  0.18542714]]
[[ 0.81855506  0.18144497]]
[[ 0.19636782  0.80363214]]
[[ 0.29633537  0.7036646 ]]
[[ 0.15380886  0.84619117]]
[[ 0.30205384  0.69794619]]
[[ 0.16115151  0.83884847]]
[[ 0.06436083  0.9356392 ]]
[[ 0.81371552  0.18628445]]
[[ 0.20697179  0.79302824]]
[[ 0.71481645  0.28518349]]
[[ 0.10514826  0.89485174]]
[[ 0.11183057  0.88816947]]
[[ 0.10327362  0.89672637]]
[[ 0.11787927  0.88212073]]
[[ 0.68075812  0.31924182]]
[[ 0.20239946  0.79760051]]
[[ 0.97399229  0.02600774]]
[[ 0.06458589  0.93541414]]
[[ 0.35421553  0.6457845 ]]
[[ 0.61687195  0.38312805]]
[[ 0.14272778  0.85727227]]
[[ 0.14852501  0.851475  ]]
[[ 0.91664714  0.08335289]]
[[ 0.16198808  0.83801192]]
[[ 0.24429131  0.75570863]]
[[ 0.02797066  0.97202933]]
[[ 0.88107431  0.1189257 ]]
[[ 0.15667161  0.84332842]]
[[ 0.18351543  0.81648457]]
[[ 0.14606079  0.85393912]]
[[ 0.15608664  0.84391338]]
[[ 0.1092601   0.89073992]]
[[ 0.06257879  0.93742114]]
[[ 0.21020724  0.78979272]]
[[ 0.39113498  0.60886502]]
[[ 0.20435847  0.79564154]]
[[ 0.03587143  0.96412855]]
[[ 0.12090775  0.87909228]]
[[ 0.89090365  0.10909637]]
[[ 0.19780928  0.80219072]]
[[ 0.84747112  0.15252887]]
[[ 0.10992076  0.89007926]]
[[ 0.20047083  0.79952914]]
[[ 0.26807436  0.73192561]]
[[ 0.75134093  0.24865904]]
[[ 0.10459056  0.89540941]]
[[ 0.09752171  0.90247828]]
[[ 0.12388396  0.87611604]]
[[ 0.10929359  0.89070642]]
[[ 0.17052713  0.8294729 ]]
[[ 0.12312592  0.87687409]]
[[ 0.43629631  0.56370366]]
[[ 0.14573276  0.85426724]]
[[ 0.17127594  0.82872403]]
[[ 0.08529678  0.91470325]]
[[ 0.08377707  0.91622293]]
[[ 0.1734874   0.82651263]]
[[ 0.18322612  0.81677395]]
[[ 0.18123341  0.81876653]]
[[ 0.44460922  0.55539078]]
[[ 0.14917737  0.85082263]]
[[ 0.30080852  0.69919151]]
[[ 0.19451365  0.80548638]]
[[ 0.24273834  0.75726163]]
[[ 0.78622097  0.21377906]]
[[ 0.20441937  0.79558057]]
[[ 0.1278273   0.87217271]]
[[ 0.07531556  0.92468446]]
[[ 0.15616016  0.84383988]]
[[ 0.87395573  0.12604423]]
[[ 0.14113912  0.85886091]]
[[ 0.06087581  0.93912411]]
[[ 0.37699342  0.62300658]]
[[ 0.14738728  0.85261267]]
[[ 0.0523111   0.94768894]]
[[ 0.03495384  0.96504617]]
[[ 0.24969204  0.75030798]]
[[ 0.14609168  0.8539083 ]]
[[ 0.11619575  0.88380426]]
[[ 0.6485635  0.3514365]]
[[ 0.1811834  0.8188166]]
[[ 0.38047111  0.61952889]]
[[ 0.4328002   0.56719989]]
[[ 0.19174805  0.80825198]]
[[ 0.13959895  0.86040103]]
[[ 0.12363826  0.87636173]]
[[ 0.68607497  0.31392503]]
[[ 0.91983193  0.08016802]]
[[ 0.0551539   0.94484609]]
[[ 0.12974039  0.87025958]]
[[ 0.34946731  0.65053266]]
[[ 0.05430135  0.94569862]]
[[ 0.17590909  0.82409084]]
[[ 0.04471473  0.95528525]]
[[ 0.04688865  0.95311129]]
[[ 0.22795089  0.77204913]]
[[ 0.02874679  0.97125322]]
[[ 0.20207605  0.79792392]]
[[ 0.13022724  0.86977279]]
[[ 0.40652204  0.59347796]]
[[ 0.59676707  0.4032329 ]]
[[ 0.27039263  0.72960734]]
[[ 0.39207131  0.60792863]]
[[ 0.22037366  0.77962637]]
[[ 0.12160517  0.87839478]]
[[ 0.69766873  0.30233124]]
[[ 0.05543537  0.9445647 ]]
[[ 0.23243645  0.76756352]]
[[ 0.08393308  0.91606694]]
[[ 0.06198702  0.93801302]]
[[ 0.11532999  0.88466996]]
[[ 0.08061678  0.91938323]]
[[ 0.74152482  0.25847515]]
[[ 0.48348871  0.51651132]]
[[ 0.15886489  0.84113514]]
[[ 0.13846196  0.86153805]]
[[ 0.97953504  0.02046499]]
[[ 0.30004141  0.69995856]]
[[ 0.17909817  0.82090187]]
[[ 0.13585429  0.8641457 ]]
[[ 0.15776171  0.84223837]]
[[ 0.38744599  0.61255401]]
[[ 0.15798181  0.84201819]]
[[ 0.16117087  0.8388291 ]]
[[ 0.16455983  0.83544016]]
[[ 0.16890657  0.83109343]]
[[ 0.17035642  0.82964361]]
[[ 0.15994078  0.84005922]]
[[ 0.70016658  0.29983345]]
[[ 0.17123537  0.82876462]]
[[ 0.22199596  0.77800399]]
[[ 0.01001506  0.98998499]]
[[ 0.09212343  0.90787655]]
[[ 0.21002246  0.78997755]]
[[ 0.22493121  0.77506876]]
[[ 0.14345032  0.85654968]]
[[ 0.55984813  0.44015187]]
[[ 0.30519071  0.69480932]]
[[ 0.77221179  0.2277882 ]]
[[ 0.39119789  0.60880208]]
[[ 0.11816595  0.88183409]]
[[ 0.49839106  0.50160897]]
[[ 0.09386125  0.90613872]]
[[ 0.11213949  0.88786048]]
[[ 0.25652021  0.74347979]]
[[ 0.2157902   0.78420985]]
[[ 0.12000588  0.87999409]]
[[ 0.33957636  0.66042364]]
[[ 0.63127249  0.36872745]]
[[ 0.17004012  0.82995987]]
[[ 0.38937613  0.6106239 ]]
[[ 0.57045454  0.42954552]]
[[ 0.21614598  0.78385401]]
[[ 0.14457107  0.85542893]]
[[ 0.17379685  0.82620323]]
[[ 0.14974327  0.85025668]]
[[ 0.12867296  0.87132704]]
[[ 0.14173791  0.85826206]]
[[ 0.09486478  0.90513527]]
[[ 0.25804946  0.74195051]]
[[ 0.18406427  0.81593567]]
[[ 0.63314146  0.36685851]]
[[ 0.18566485  0.81433517]]
[[ 0.64654207  0.3534579 ]]
[[ 0.03726505  0.96273494]]
[[ 0.06038786  0.93961209]]
[[ 0.06452776  0.93547225]]
[[ 0.73851883  0.26148114]]
[[ 0.78223854  0.21776144]]
[[ 0.1181413   0.88185871]]
[[ 0.13367538  0.8663246 ]]
[[ 0.81661856  0.18338141]]
[[ 0.16521932  0.83478063]]
[[ 0.88530588  0.11469414]]
[[ 0.06146294  0.93853712]]
[[ 0.20162818  0.79837185]]
[[ 0.13447997  0.86552   ]]
[[ 0.04366855  0.95633149]]
[[ 0.25594857  0.74405146]]
[[ 0.08347637  0.91652364]]
[[ 0.19801576  0.80198419]]
[[ 0.15894225  0.84105772]]
[[ 0.16256207  0.83743793]]
[[ 0.19800359  0.80199641]]
[[ 0.06277351  0.93722647]]
[[ 0.1525166   0.84748334]]
[[ 0.06903148  0.93096852]]
[[ 0.80260706  0.19739293]]
[[ 0.14110412  0.8588959 ]]
[[ 0.54718918  0.45281082]]
[[ 0.94639534  0.05360467]]
[[ 0.40786675  0.59213328]]
[[ 0.21962476  0.78037524]]
[[ 0.19200815  0.80799186]]
[[ 0.78502136  0.21497859]]
[[ 0.10427508  0.89572489]]
[[ 0.59147865  0.40852138]]
[[ 0.44742045  0.55257958]]
[[ 0.12586182  0.87413824]]
[[ 0.06784032  0.93215972]]
[[ 0.89047933  0.1095207 ]]
[[ 0.0617319   0.93826807]]
[[ 0.10918775  0.89081228]]
[[ 0.89589691  0.10410305]]
[[ 0.80883205  0.19116798]]
[[ 0.21752502  0.78247494]]
[[ 0.11749028  0.88250971]]
[[ 0.09208346  0.90791655]]
[[ 0.22228757  0.77771246]]
[[ 0.2088729   0.79112703]]
[[ 0.15920569  0.84079427]]
[[ 0.1068304   0.89316964]]
[[ 0.09112445  0.90887558]]
[[ 0.14509584  0.85490417]]
[[ 0.07492437  0.92507565]]
[[ 0.8877219  0.1122781]]
[[ 0.47381064  0.52618939]]
[[ 0.01585805  0.98414189]]
[[ 0.57438469  0.42561531]]
[[ 0.50669438  0.49330568]]
[[ 0.32618928  0.67381072]]
[[ 0.16131431  0.83868569]]
[[ 0.55264962  0.44735038]]
[[ 0.07083169  0.92916834]]
[[ 0.15546568  0.84453428]]
[[ 0.95182902  0.04817098]]
[[ 0.0944888  0.9055112]]
[[ 0.13109539  0.86890459]]
[[ 0.14247155  0.85752845]]
[[ 0.12827033  0.87172973]]
[[ 0.4455044   0.55449563]]
[[ 0.13886815  0.86113185]]
[[ 0.05013132  0.94986862]]
[[ 0.09455903  0.90544093]]
[[ 0.09290279  0.90709716]]
[[ 0.97290844  0.02709159]]
[[ 0.15765101  0.84234899]]
[[ 0.12004851  0.87995148]]
[[ 0.17913269  0.8208673 ]]
[[ 0.09517342  0.90482652]]
[[ 0.03701722  0.96298283]]
[[ 0.12318462  0.87681544]]
[[ 0.09378585  0.90621418]]
[[ 0.06378889  0.93621111]]
[[ 0.14416148  0.85583848]]
[[ 0.09426746  0.90573257]]
[[ 0.03873596  0.96126401]]
[[ 0.2004575   0.79954249]]
[[ 0.93233991  0.06766012]]
[[ 0.07044957  0.92955041]]
[[ 0.66404682  0.33595318]]
[[ 0.0206531   0.97934693]]
[[ 0.0419361  0.9580639]]
[[ 0.19318217  0.80681789]]
[[ 0.06131142  0.93868852]]
[[ 0.38021219  0.61978787]]
[[ 0.8258484   0.17415163]]
[[ 0.44617611  0.55382383]]
[[ 0.10375807  0.89624196]]
[[ 0.3908686  0.6091314]]
[[ 0.07233884  0.92766118]]
[[ 0.27180746  0.72819251]]
[[ 0.52062744  0.47937253]]
[[ 0.0982907   0.90170932]]
[[ 0.39561972  0.60438025]]
[[ 0.22548327  0.77451676]]
[[ 0.14106126  0.85893875]]
[[ 0.03171678  0.96828318]]
[[ 0.08568824  0.91431171]]
[[ 0.23387711  0.76612288]]
[[ 0.09809916  0.90190077]]
[[ 0.04389676  0.95610327]]
[[ 0.02962222  0.97037774]]
[[ 0.06467396  0.93532604]]
