[[ 0.08632344  0.91367656]]
[[ 0.08628208  0.91371799]]
[[ 0.24822232  0.75177771]]
[[ 0.07210919  0.92789084]]
[[ 0.08285115  0.91714883]]
[[ 0.05743466  0.94256532]]
[[ 0.17983787  0.82016212]]
[[ 0.05939577  0.94060427]]
[[ 0.0790048   0.92099518]]
[[ 0.09621222  0.90378773]]
[[ 0.16426347  0.83573657]]
[[ 0.22378941  0.77621061]]
[[ 0.18154524  0.81845474]]
[[ 0.14328539  0.85671455]]
[[ 0.09593403  0.90406603]]
[[ 0.09073335  0.90926671]]
[[ 0.12317435  0.87682557]]
[[ 0.16612434  0.83387566]]
[[ 0.2415593   0.75844073]]
[[ 0.45360476  0.54639524]]
[[ 0.09655874  0.90344131]]
[[ 0.39345589  0.60654408]]
[[ 0.59575903  0.404241  ]]
[[ 0.07672869  0.92327136]]
[[ 0.09975396  0.90024608]]
[[ 0.43209946  0.56790054]]
[[ 0.15958396  0.84041607]]
[[ 0.79228753  0.2077125 ]]
[[ 0.71175653  0.28824347]]
[[ 0.36530146  0.63469857]]
[[ 0.8076607   0.19233927]]
[[ 0.20149389  0.79850614]]
[[ 0.16568734  0.83431274]]
[[ 0.17120983  0.82879019]]
[[ 0.10077468  0.89922535]]
[[ 0.10201628  0.89798367]]
[[ 0.15821826  0.8417818 ]]
[[ 0.29205287  0.70794713]]
[[ 0.27680922  0.72319078]]
[[ 0.07539753  0.92460251]]
[[ 0.32072657  0.67927337]]
[[ 0.19482265  0.80517733]]
[[ 0.19194385  0.80805606]]
[[ 0.93832386  0.06167611]]
[[ 0.82562941  0.17437059]]
[[ 0.17177314  0.82822686]]
[[ 0.15036924  0.84963083]]
[[ 0.03657326  0.96342677]]
[[ 0.09986734  0.90013266]]
[[ 0.16663946  0.83336055]]
[[ 0.08162799  0.91837198]]
[[ 0.10392449  0.89607549]]
[[ 0.08047581  0.91952425]]
[[ 0.10009125  0.89990872]]
[[ 0.11045559  0.88954449]]
[[ 0.08838546  0.9116146 ]]
[[ 0.0830439   0.91695613]]
[[ 0.10017695  0.89982307]]
[[ 0.10537808  0.89462197]]
[[ 0.08387782  0.91612214]]
[[ 0.07216142  0.92783856]]
[[ 0.09733869  0.90266138]]
[[ 0.17491633  0.82508361]]
[[ 0.11421614  0.88578385]]
[[ 0.07298587  0.92701411]]
[[ 0.09368384  0.90631622]]
[[ 0.0661318   0.93386817]]
[[ 0.10192391  0.89807606]]
[[ 0.10517198  0.89482802]]
[[ 0.06351875  0.9364813 ]]
[[ 0.18649113  0.81350887]]
[[ 0.09174077  0.90825927]]
[[ 0.07311931  0.92688072]]
[[ 0.17483096  0.82516903]]
[[ 0.06961484  0.93038511]]
[[ 0.08887088  0.91112912]]
[[ 0.16226256  0.83773738]]
[[ 0.0386823   0.96131766]]
[[ 0.17680342  0.82319659]]
[[ 0.0852233   0.91477662]]
[[ 0.06894501  0.93105501]]
[[ 0.06572352  0.93427652]]
[[ 0.09433153  0.90566844]]
[[ 0.18189602  0.81810397]]
[[ 0.16137028  0.83862978]]
[[ 0.20787141  0.79212862]]
[[ 0.07406633  0.92593366]]
[[ 0.09588156  0.90411842]]
[[ 0.75656295  0.24343711]]
[[ 0.05343881  0.94656122]]
[[ 0.07478841  0.92521155]]
[[ 0.09030461  0.90969539]]
[[ 0.01594381  0.98405623]]
[[ 0.08866917  0.91133082]]
[[ 0.24152721  0.7584728 ]]
[[ 0.09667566  0.90332437]]
[[ 0.07989958  0.92010045]]
[[ 0.26961401  0.73038602]]
[[ 0.05455775  0.9454422 ]]
[[ 0.22006357  0.77993643]]
[[ 0.0953272   0.90467286]]
[[ 0.09783436  0.90216565]]
[[ 0.05866252  0.94133753]]
[[ 0.1624707  0.8375293]]
[[ 0.0748036   0.92519641]]
[[ 0.1206978  0.8793022]]
[[ 0.07599264  0.92400736]]
[[ 0.09263036  0.90736967]]
[[ 0.07679683  0.92320317]]
[[ 0.09416934  0.90583068]]
[[ 0.09757692  0.90242308]]
[[ 0.04310308  0.9568969 ]]
[[ 0.13299848  0.86700147]]
[[ 0.28783077  0.71216923]]
[[ 0.05799753  0.94200242]]
[[ 0.07939896  0.92060107]]
[[ 0.07697821  0.92302173]]
[[ 0.09353139  0.90646857]]
[[ 0.08104914  0.91895086]]
[[ 0.0955855   0.90441447]]
[[ 0.21997225  0.78002775]]
[[ 0.96073842  0.03926156]]
[[ 0.36545098  0.63454902]]
[[ 0.2275636   0.77243638]]
[[ 0.07615844  0.9238416 ]]
[[ 0.0731459   0.92685413]]
[[ 0.09515207  0.90484792]]
[[ 0.24187753  0.7581225 ]]
[[ 0.07590895  0.92409098]]
[[ 0.06664228  0.93335766]]
[[ 0.24172616  0.75827378]]
[[ 0.14775239  0.85224754]]
[[ 0.04945664  0.95054334]]
[[ 0.05305343  0.94694662]]
[[ 0.05099504  0.94900495]]
[[ 0.04155647  0.95844352]]
[[ 0.04869881  0.95130116]]
[[ 0.0947639   0.90523612]]
[[ 0.42249015  0.57750976]]
[[ 0.13097782  0.86902213]]
[[ 0.05871538  0.9412846 ]]
[[ 0.21368176  0.78631824]]
[[ 0.09599329  0.90400666]]
[[ 0.07662342  0.92337656]]
[[ 0.05921957  0.94078046]]
[[ 0.58637559  0.41362444]]
[[ 0.05848886  0.94151109]]
[[ 0.05808454  0.94191551]]
[[ 0.09306928  0.90693074]]
[[ 0.03742176  0.9625783 ]]
[[ 0.15706559  0.84293443]]
[[ 0.05250284  0.94749713]]
[[ 0.09477875  0.90522128]]
[[ 0.22422931  0.7757706 ]]
[[ 0.05877861  0.94122136]]
[[ 0.90474981  0.0952502 ]]
[[ 0.09874165  0.90125835]]
[[ 0.06660477  0.93339527]]
[[ 0.08357587  0.9164241 ]]
[[ 0.49860579  0.50139421]]
[[ 0.07787011  0.92212987]]
[[ 0.05938503  0.94061494]]
[[ 0.05346318  0.94653684]]
[[ 0.05221849  0.94778156]]
[[ 0.18009239  0.81990755]]
[[ 0.07272455  0.92727542]]
[[ 0.07777666  0.92222333]]
[[ 0.09790015  0.90209979]]
[[ 0.40607241  0.59392756]]
[[ 0.08503745  0.91496253]]
[[ 0.15592416  0.84407586]]
[[ 0.06871673  0.9312833 ]]
[[ 0.08001991  0.91998017]]
[[ 0.09720446  0.90279549]]
[[ 0.65761739  0.34238264]]
[[ 0.71417159  0.28582847]]
[[ 0.24796622  0.75203377]]
[[ 0.05759683  0.9424032 ]]
[[ 0.10281716  0.89718288]]
[[ 0.04315327  0.95684671]]
[[ 0.89092004  0.10907996]]
[[ 0.05512483  0.94487512]]
[[ 0.24817561  0.75182444]]
[[ 0.03564  0.96436]]
[[ 0.0917908  0.9082092]]
[[ 0.88965911  0.11034086]]
[[ 0.16802469  0.8319754 ]]
[[ 0.07741522  0.92258483]]
[[ 0.20407769  0.79592228]]
[[ 0.16426347  0.83573657]]
[[ 0.06637121  0.9336288 ]]
[[ 0.2509287  0.7490713]]
[[ 0.08931482  0.91068518]]
[[ 0.13977928  0.86022067]]
[[ 0.3828297   0.61717033]]
[[ 0.05818237  0.94181764]]
[[ 0.0799425   0.92005754]]
[[ 0.08557843  0.91442156]]
[[ 0.0508786   0.94912136]]
[[ 0.16054642  0.83945364]]
[[ 0.08803414  0.91196579]]
[[ 0.09536587  0.90463412]]
[[ 0.08692467  0.91307539]]
[[ 0.07631043  0.9236896 ]]
[[ 0.07179985  0.92820019]]
[[ 0.09452315  0.90547681]]
[[ 0.13003984  0.86996013]]
[[ 0.19287129  0.80712867]]
[[ 0.09756154  0.90243852]]
[[ 0.08607975  0.91392022]]
[[ 0.05623975  0.94376022]]
[[ 0.0926331   0.90736693]]
[[ 0.06867797  0.93132198]]
[[ 0.19941631  0.80058372]]
[[ 0.07225398  0.927746  ]]
[[ 0.04939027  0.95060974]]
[[ 0.17495634  0.82504362]]
[[ 0.50674021  0.49325976]]
[[ 0.08752304  0.91247696]]
[[ 0.09291902  0.90708101]]
[[ 0.1902823   0.80971766]]
[[ 0.1018258   0.89817423]]
[[ 0.1323334   0.86766666]]
[[ 0.0871966   0.91280347]]
[[ 0.08055073  0.91944921]]
[[ 0.07927667  0.92072332]]
[[ 0.33027071  0.66972929]]
[[ 0.08100723  0.91899276]]
[[ 0.0863572   0.91364282]]
[[ 0.07327778  0.92672223]]
[[ 0.08092933  0.91907066]]
[[ 0.08134042  0.91865963]]
[[ 0.08019253  0.91980743]]
[[ 0.0809713  0.9190287]]
[[ 0.07096411  0.9290359 ]]
[[ 0.0821544   0.91784567]]
[[ 0.08015303  0.91984695]]
[[ 0.08791264  0.91208738]]
[[ 0.07986439  0.92013562]]
[[ 0.05155357  0.94844651]]
[[ 0.09486079  0.90513915]]
[[ 0.18213463  0.81786537]]
[[ 0.16485484  0.83514518]]
[[ 0.09351707  0.90648299]]
[[ 0.09730067  0.90269935]]
[[ 0.07437581  0.92562419]]
[[ 0.0748842   0.92511582]]
[[ 0.09713657  0.90286344]]
[[ 0.09127325  0.90872681]]
[[ 0.29171151  0.70828843]]
[[ 0.16369171  0.8363083 ]]
[[ 0.16337895  0.83662111]]
[[ 0.19922762  0.80077237]]
[[ 0.08277974  0.91722023]]
[[ 0.09676684  0.90323317]]
[[ 0.01176167  0.98823839]]
[[ 0.22215325  0.77784681]]
[[ 0.05156728  0.94843274]]
[[ 0.07325847  0.9267416 ]]
[[ 0.09545889  0.90454113]]
[[ 0.12997052  0.87002945]]
[[ 0.0963847  0.9036153]]
[[ 0.09424125  0.9057588 ]]
[[ 0.07867265  0.92132735]]
[[ 0.09407815  0.90592182]]
[[ 0.06867441  0.93132561]]
[[ 0.08305987  0.91694009]]
[[ 0.07225856  0.92774141]]
[[ 0.0913262   0.90867382]]
[[ 0.76690763  0.2330924 ]]
[[ 0.09308642  0.90691358]]
[[ 0.07868232  0.9213177 ]]
[[ 0.09741723  0.90258276]]
[[ 0.04856421  0.9514358 ]]
[[ 0.09867015  0.90132982]]
[[ 0.06051686  0.93948311]]
[[ 0.47358063  0.5264194 ]]
[[ 0.09347937  0.90652061]]
[[ 0.3110072  0.6889928]]
[[ 0.13815421  0.86184579]]
[[ 0.81976342  0.18023658]]
[[ 0.09777911  0.9022209 ]]
[[ 0.09571932  0.90428072]]
[[ 0.08889052  0.91110951]]
[[ 0.04597698  0.954023  ]]
[[ 0.92518717  0.07481289]]
[[ 0.06354493  0.93645507]]
[[ 0.06932082  0.9306792 ]]
[[ 0.02143936  0.97856063]]
[[ 0.07315475  0.92684519]]
[[ 0.18802965  0.81197035]]
[[ 0.07090778  0.92909217]]
[[ 0.09385217  0.90614778]]
[[ 0.09680763  0.9031924 ]]
[[ 0.10740189  0.89259815]]
[[ 0.06762502  0.93237501]]
[[ 0.08947894  0.91052109]]
[[ 0.09606821  0.9039318 ]]
[[ 0.06910235  0.93089765]]
[[ 0.08719333  0.91280675]]
[[ 0.0867878   0.91321218]]
[[ 0.94378251  0.05621752]]
[[ 0.07074492  0.92925513]]
[[ 0.07280039  0.92719954]]
[[ 0.10374473  0.89625531]]
[[ 0.13899173  0.86100829]]
[[ 0.04482175  0.95517832]]
[[ 0.09496704  0.90503299]]
[[ 0.17370003  0.82629997]]
[[ 0.09639762  0.90360236]]
[[ 0.09671126  0.90328878]]
[[ 0.28595701  0.71404296]]
[[ 0.26922795  0.73077202]]
[[ 0.84961814  0.15038185]]
[[ 0.08636805  0.91363198]]
[[ 0.05060077  0.94939923]]
[[ 0.51115853  0.48884153]]
[[ 0.08447539  0.91552466]]
[[ 0.12025315  0.87974685]]
[[ 0.11137336  0.88862664]]
[[ 0.05852536  0.94147468]]
[[ 0.0851462   0.91485375]]
[[ 0.09731454  0.90268546]]
[[ 0.14009996  0.85990006]]
[[ 0.92071462  0.07928538]]
[[ 0.0733578   0.92664218]]
[[ 0.12219787  0.87780213]]
[[ 0.09297132  0.90702873]]
[[ 0.08984338  0.91015667]]
[[ 0.09759695  0.90240306]]
[[ 0.03802567  0.96197438]]
