I am actually going to do this
@TeslaMotors We are going to modify this so that people only pay a fee if most bays are occupied. If the site is ba… https://t.co/IrXtSbsR5N
"Boring, it's what we do"
"It shall be called ""The Boring Company"""
Traffic is driving me nuts. Am going to build a tunnel boring machine and just start digging...
