@danahull Very few. We have yet to do a China (or Europe) launch of Model 3.
@business Glad to have Tencent as an investor and advisor to Tesla
@nickg_uk @chouky02 No
@nickg_uk @chouky02 You won't care
@NakatomiTim What gave me away?
@nickg_uk No
Here is the latest SpaceX travel ad for the flight around the moon &amp; into deep space. Maybe needs a few edits ... https://t.co/mA8ZgutrbE
"Long Neuralink piece coming out on @waitbutwhy in about a week. Difficult to dedicate the time, but existential risk is too high not to."
