"@AbeAlem Unfortunately, Asimov's books largely illustrate why the three laws don't work"
Another Easter Egg will be hidden in the Model S code in 2015. Last one took a year to find. Next one should be easier.
@Pandoomic Just changed them to full public domain
SpaceX Photos Are Now Available Under a Creative Commons License http://t.co/OgHJYimuCU
