"@lukealization yes, will cover whole country"
@preastro yes
@KentNStephens sure is
@roddrury X and S will also be available
"Adding several more countries to Model 3 order page tonight. Check for details, but will include India, Brazil, SA, SK, NZ, Sing &amp; Ireland."
"Model 3 orders, whether in store or online, are limited to two per person"
Online ordering at https://t.co/46TXqRrsdr will now open at 7:30pm Pacific to ensure no server overload. Presentation still at 8:30.
@haerone From almost anywhere
@GiftedDiego Coming soon!
"Incredibly inspired by the interest in Model 3. You won't be disappointed. Also, small token of appreciation coming for those who lined up."
Model 3 unveil will be webcast live at 8:30pm California time at https://t.co/46TXqRrsdr
