"RT @TeslaMotors: Only needs 30 cm to spread its wings, wherever you go #ModelX https://t.co/5DxDjW9tGs"
"RT @TeslaMotors: “Model S saved my husband, the father of our kids” - Michelle https://t.co/pFNkej2PKd"
RT @TeslaMotors: Cool view #ModelX https://t.co/r5CEPoHUVh
