"@disinformatico @Eddy_Jahn cool, thanks :)"
@gdoehne @disinformatico @Eddy_Jahn The Google term of self-driving would probably be more appropriate then.
"@disinformatico @Eddy_Jahn In other words, the intended implication is that a driver must remain alert, just as a pilot must remain alert."
"@disinformatico @Eddy_Jahn Tesla Tesla Autopilot is named after aircraft autopilot, as it is always expected that a pilot must stay alert."
"@jacobrossi All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include."
Tesla response to the misleading Fortune articles about Autopilot https://t.co/zWRM3aMnVC
Sponsored articles … https://t.co/i8QsJYU4Ee
RT @Gizmodo: Hyperloop connecting Helsinki to Stockholm would turn a 300-mile trip into a 28-minute ride https://t.co/zeruuwufKk https://t.…
