"@Emerald0013 It's an aluminum honeycomb cartridge, so only a couple of hours to replace"
"Rocket is extra toasty and hit the deck hard (used almost all of the emergency crush core), but otherwise good"
RT @SpaceX: Webcast of Falcon 9 launch is now live → https://t.co/gtC39uBC7z
Falcon 9 will experience its highest ever reentry force and heat in today's launch. Good chance rocket booster doesn't make it back.
"@shanghai_artist Technically, Ironyman"
@ExploreSpaceKSC Thanks! Looks cool.
"RT @SpaceX: Falcon 9 and BulgariaSat-1 vertical on Pad 39A. Today’s two-hour launch window opens at 2:10 p.m. EDT, 18:10 UTC. https://t.co/…"
"@WaywardPlane Damn, I forgot bacon"
"RT @justAfanDavid: @elonmusk like the quote says:

“We are our choices.” 
― Jean-Paul Sartre"
"In life, there are no easy choices …"
