"@huntster1701 @m_ac We do that too, but for free"
@alec_ace11 Hopefully
"Other orgs shd also develop reusable orbital rockets. If an airplane co had reusable airplanes, buying single use a… https://t.co/KqalU0DmPx"
@Kiwi_Manu That doesn't sound right
"Worth noting that Boeing/Lockheed (""Other US"" on chart) get a billion dollar annual subsidy even if they launch not… https://t.co/5MSaR0GwcR"
@VicforM3 Latest S and X tires have internal acoustic foam
