@cristian_miuta @TeslaMotors Norway is awesome
"@30akshay Actually, China manufacturing quality is excellent. Among other things, that's where iPhones, many Androi… https://t.co/L1y9wpZMEF"
Another SpaceX launch today if weather is good https://t.co/UdUYn8Kf0C
@TimDehoucke Coming later today
Sorry to hear about China launch failure today. I know how painful that is to the people who designed &amp; built it. https://t.co/iOkj6egF3O
@JaneidyEve @arstechnica @TeslaMotors @SpaceX Suggestions welcome!
