"@AKAbrahamson @itsDanielSuarez Yeah, that's worth a read"
What could possibly go wrong? https://t.co/ZhUrllHG95
@MarinaSBlinova @MikeJudge @Recode That would definitely help
"@justincooperman @MikeJudge @Recode Yeah, that about sums it up"
"Bloomberg article today also has oddly false details. I don't eat breakfast at Tesla and drink coffee, not juice."
"The @MikeJudge show about Silicon Valley missed the mark in some ways, but I didn't hate it, as @Recode reporter claimed"
Some oddly inaccurate news stories of late ...
