@DavidBrin Thanks David
"@adventFuturist yeah, not the best birthday"
That's all we can say with confidence right now. Will have more to say following a thorough fault tree analysis.
There was an overpressure event in the upper stage liquid oxygen tank. Data suggests counterintuitive cause.
@juanmlemao Thanks :)
Falcon 9 experienced a problem shortly before first stage shutdown. Will provide more info as soon as we review the data.
RT @SpaceX: On track for launch tomorrow to @Space_Station. Liftoff targeted for 10:21am ET – watch live http://t.co/tdni5406Hi http://t.co…
