@batasrki Stay tuned for a big Supercharger announcement in a few weeks. Definitely have you covered.
@JBSiegelMD Thanks! Hearing from constituents is super important to counteract the influence of the dealer lobby.
"New York judge states: ""... dealers cannot utilize the Franchised Dealer Act as a means to sue their competitors"". Exactly!"
"New York judge just ruled in favor Tesla, dismissing the legal attack by auto dealers to prevent direct sales!"
Yay for democracy! @latimes asks: Should Tesla Motors be able to sell directly to consumers? http://t.co/IhSNht6bgx
"@twittelator Yup, you're right"
