@joshuapinter @juliusvolz Full height of Falcon 9 boost stage on legs is ~165 ft
"Falcon Heavy side boosters can use most of the same airframe as Falcon 9, but center core needs to be buffed up a lot for transfer loads."
RT @USATODAY: Global warming is getting worse with record temps and widespread coral bleaching: https://t.co/z4viRzwneA (Getty) https://t.c…
"Response to a Mercury News article about an injury on our premises
https://t.co/3BFgV6Hfia"
@margotroosevelt Only heard about this today. Sounds like the wrong thing happened on many levels. Will investigate and make it right.
"@bittdk Better. Not there yet, but a solution is likely."
@4kpixelsyt yes
@mmustapic yup
RT @joshuapinter: @juliusvolz @elonmusk Totally. I did this up from a previous one to give it scale: https://t.co/Y6oZSc2Std
