Highly recommend anything by Sean Carroll https://t.co/yVbceZm0Io
"@seanmcarroll Am concerned that advanced life may be inherently unstable. Arguably, any civ capable of extinguishing itself eventually will."
"@seanmcarroll Life you can talk to is another matter, of course. Many, many orders of magnitude less likely."
@seanmcarroll No way. Look at chemotrophs and extremophiles. Primitive life is bloody everywhere. Highly under the ice on Europa imo.
@spoite @rsmoz Hence the urgency of making life as we know it multiplanetary as soon as possible
"@rsmoz That, speed of light constraint and quantum mechanics"
"And, no, I'm not an alien...but I used to be one"
Latest science predicts &gt; trillion alien civilizations. Either they don't last long or there are a *lot* of aliens https://t.co/oC9B2FlUuF
