@antplaysdrums Yes
@Oatmeal Sure
RT @MotorTrend: INTERGALACTIC EXCLUSIVE: FIRST DRIVE OF THE ALL-NEW @TeslaMotors #MODEL3 https://t.co/OAhM2geYnQ
"RT @TeslaMotors: S, 3, X on a bridge https://t.co/2E57xqkTVY"
RT @TeslaMotors: Watch a Tesla Model 3 vs. Volvo S60 side-pole impact test https://t.co/dXBQkstrdo
RT @TeslaMotors: Thank you to all our employees for your hard work making Model 3 a reality https://t.co/QctmioYxRw
@TeslaOwnerClub Watched them personally to make sure &amp; I agree with the outcome. Wouldn't have judged differently.… https://t.co/fClZjlac2D
Couldn't believe how incredibly inspiring and creative they were!!
First! https://t.co/OXNEgDnhku
Second https://t.co/BTVNSZhC9z
Third https://t.co/JAcuaLWTQY
Project Loveday winners ...
RT @TeslaMotors: Watch the first Model 3 handovers on https://t.co/7Ol1Bw0ZaG this Friday at 8:45pm PT https://t.co/b00OZGviNK
