@itsjasonwhite @TeslaMotors perfect
"Longer version of self-driving demo with Paint It Black soundtrack 
https://t.co/YuUmyEaCgR"
@veritasDK @TeslaMotors That and Paint It Black will both be uploaded for free as Easter (holiday?) eggs
@wheelsupgal @TeslaMotors yes
@ParParV -2
Tesla self-driving AI with the Benny Hill option package https://t.co/gJAwzys7vV
@newscientist Consequences of population implosion greatly underestimated. Upside down demographic pyramid can't support social services.
