@SmileSimplify @VatsalSngh @businessinsider Coming soon ...
@mayemusk Hi Mom!
@maralkalajian @businessinsider A level 9 orc illusionist and dressmaker
@TIME This is about as true as TIME being a paragon of great journalism. Please spend at least 8 seconds checking your facts.
@businessinsider Just because I have the outfit and the awesome weapons doesn't make me a ninja. That requires years of training.
@VatsalSngh @businessinsider There are dozens of bogus or half-true anecdotes don't really matter &amp; maybe 5 to 10 t… https://t.co/xMThhVbct9
@businessinsider One other I'd like to correct from the biography: I never said I was a samurai. Said I was ninja.… https://t.co/xYoGctHBas
@businessinsider MB was given 52 weeks of salary &amp; stock in appreciation for her great contribution &amp; left to join… https://t.co/m3nHHpVbFe
"@businessinsider Mary Beth was an amazing assistant for over 10 yrs, but as company complexity grew, the role requi… https://t.co/vCjSfdLFKt"
"@businessinsider Of all the bogus anecdotes, this one troubles me the most. Ashlee never actually ran this story by… https://t.co/8j0bUnqp1p"
"@businessinsider Ashlee Vance's biography is mostly correct, but also rife with errors &amp; never independently fact-c… https://t.co/ReXTSXqqwz"
