@vicentes yes
@BobaFaux strongly net positive
"Solar glass tiles can also incorporate heating elements, like rear defroster on a car, to clear roof of snow and keep generating energy"
@HipStreeet yes
RT @TeslaMotors: Solar roof glass tile vs. conventional roof tile https://t.co/AnGWJ07jub
"Should mention that the Tesla solar roof is robust against any weather, incl heavy hail. Also, higher insulating value than a standard roof."
RT @jodyfisher: Exactly what I was thinking.. nice job @elonmusk https://t.co/jOwclRImXP
"RT @CNBC: With Tesla's solar roof, you'll never have to know these houses are solar-powered https://t.co/n88I5XbR4z"
RT @TeslaMotors: Tuscan glass tile roof https://t.co/iDFhp8Y3qi
RT @TeslaMotors: Close up of the solar roof https://t.co/kDsSqtTWK7
RT @TeslaMotors: Powerwall 2 stores solar energy to power your home with 14 kWh of storage https://t.co/oVv32hiGF6
RT @TeslaMotors: Tesla + SolarCity future: solar roofs + batteries + electric cars https://t.co/os26v4W62m
Pushing start to ~5:45 to allow more people to arrive
