@scojjac exactly
"Onboard vehicle logs show Autopilot was turned off in Pennsylvania crash. Moreover, crash would not have occurred if it was on."
"EU regulators find no safety concerns with Autopilot
https://t.co/zOykm4XeHP"
@TheHackersNews @defcon It's all fun &amp; games until ... https://t.co/cRAn0S8ooX
