Proud of my Mom ❤️ https://t.co/MY9dGfDo0d
"@Pandora659 Yeah, pretty much dead center. We painted the target area with radio reflective paint, which helps the radar be more precise."
@zlorena70 Exactly
It's starting to feel kinda normal to reuse rockets. Good. That's how it is for cars &amp; airplanes and how it should be for rockets.
"RT @NASA: #ICYMI, more than 6,000 pounds of science &amp; supplies left planet Earth at 5:07pm ET to head to @Space_Station: https://t.co/BPi0N…"
