Exactly https://t.co/cy1AbIIo42
Good article from @themotleyfool explaining how little incentives have actually contributed to Tesla funding https://t.co/zfC8di7EDX
@SwiftOnSecurity how did you know?
Creating a neural lace is the thing that really matters for humanity to achieve symbiosis with machines
@JedBrown5 @renzdimaandal @Goetzman @Tom_Stears exactly
@renzdimaandal @Tom_Stears It is simulations all the way down
"At this point, I'm really running out of crazy things to say. Any suggestions?
https://t.co/dGVJBcSZn2"
