@Beryllium9 @jasontoff For sure
@Reza_Zadeh Biggest impediment to recognizing AI danger are those so convinced of their own intelligence they can't… https://t.co/sjZNMZpF96
Would like to express our appreciation to Microsoft for use of their Azure cloud computing platform. This required massive processing power.
OpenAI + Dota 2 https://t.co/hdyFSMMB0z
@VeryVandy It is far too complex for that. Requires a team of the world's best AI researchers with massive computing resources.
"Nobody likes being regulated, but everything (cars, planes, food, drugs, etc) that's a danger to the public is regulated. AI should be too."
"@iainthomson I sure hope so, but we can't take that for granted"
"If you're not concerned about AI safety, you should be. Vastly more risk than North Korea. https://t.co/2z0tiid0lc"
OpenAI first ever to defeat world's best players in competitive eSports. Vastly more complex than traditional board games like chess &amp; Go.
RT @OpenAI: Our Dota 2 AI is undefeated against the world's best solo players: https://t.co/cUvTbGW7ya
"RT @OpenAI: In a few minutes, watch our Dota 2 AI play live on main stage at The International: https://t.co/mjTTPTlPh5"
