@TomDines Like I said ...
@bonnienorman It gets really dark
"@WaywardPlane True, there are frequent complaint expansion packs"
Except for complaining. That has remained constant throughout history at 100/100. https://t.co/dQFlVLkO21
Officially verified as the first production electric car to exceed 1000km on a single charge! Congratulations Tesla… https://t.co/B7umKT455U
