@lars_0 @dcunni @SVbizjournal Movie on the subject coming soon...
"Tim's piece on AI is excellent, but we actually face a double exponential rate of improvement. AI hardware &amp; softwa… https://t.co/JfLoHVCxMH"
@dcunni @SVbizjournal I've talked to Mark about this. His understanding of the subject is limited.
@maralkalajian A book of the most beautiful classic cars given to me on my 18th birthday on a farm in Saskatchewan. Van Gogh's Starry Night.
@NickHOrford $US price in $AUD plus import duties and sales tax
@RyanBiddle603 @SpaceX We can't have too many direct shareholders or we're required to become a public co. Will che… https://t.co/95mIW9SWql
Often comes as a surprise when people learn that 80% of my time is on engineering/design and just 20% on other stuff https://t.co/T9yLcg9owU
