Just arrived at the @Hyperloop competition final. Student teams have amazing talent!
@OfficeOfOMAR @HyperloopOne I hope they and any others trying to advance transport technology succeed
@SmileSimplify @Vita_Berlin @c12olivas Exactly. Wouldn't let anyone invest more than a token amount in early rounds… https://t.co/PIsJq5n19E
https://t.co/IypZm9FdQk
"@SU3UR3ANLegend Sorry! Coming next year, along with completing the Trans-Canada Highway and interconnecting US, Mexico and Central America."
"@bobbyblackstock @c12olivas Funny thing is, whenever I suggest all companies go to zero incentives, room gets very… https://t.co/6eQMYnWrUX"
@bobbyblackstock @c12olivas Literally zero incentive laws were put into place by my companies. Zero. Others put the… https://t.co/fqZUBnbGEu
@c12olivas I'm not an investor. Just believe in putting money into my own companies. Don't think the OPM approach is right.
@SmileSimplify @beboutside @Hyperloop @SpaceX @paradigm_hype @swissloop The latter. There are pretty long gaps betw… https://t.co/lnrzgxmwV7
"From last year, but still my favorite video of the Falcon 9 rocket booster returning from space… https://t.co/b935pdz2Xi"
@beboutside @Hyperloop @SpaceX @paradigm_hype @swissloop SpaceX and The Boring Company are running the Hyperloop competition
"RT @Hyperloop: Top 3 teams launching their pods on the ~mile long vacuum track at @SpaceX’s HQ today: @paradigm_hype, @swissloop and WARR H…"
