"@grebakshay We are working on an exact date, but Tesla will be in India before 3 production starts."
@Model3Owners They will. We spent a lot of time on those.
"@vicentes Roadster, S and X customers are the ones who got us here and are paying for 3. They deserve a lot of credit."
"@Aakashhh_ we will send something to everyone who ordered, but an extra gift for those who stood in some crazy long lines"
"@raytech247 yes, within a region. Can't deliver to all regions simultaneously. Too much complexity."
@squallcraft and a few other things
"Token of appreciation for those who lined up coming via mail. Thought maybe 20-30 people per store would line up, not 800. Gifts on order."
@34thrain Maybe 1/4 to 1/2 of what happened. No one at Tesla thought it would be this high before part 2 of the unveil.
"Will give an update tonight for the 3 day total, then last one on Wed for the full week. All efforts focused on accelerating the ramp."
253k as of 7am this morning
@sundarpichai thanks!
Now 232k orders
