High res version at https://t.co/YysKftHhoz
@jovanik21 Most of it
"Long road to reusabity of Falcon 9 primary boost stage…When upper stage &amp; fairing also reusable, costs will drop by… https://t.co/omqxEl6hCU"
@simcrook @SmileSimplify Actually ... yes
