@FellipeC Not the ideal ending
@OlivierW4 There will be many improvements to HW1 over the course of the year
@craighamnett Yes
"@Brian_Ashcraft Yeah, it has a lot of potential"
"Rewatched ""Ghost in the Shell"" and the end of ""Colossus: The Forbin Project"" https://t.co/ZVUR5RzE5C"
"HW2 Autopilot now downloading to all HW2 cars, but in non-actuating mode to assess reliability. If looks good, actuation by end of week."
