"Am a fan of Larry, Sergey &amp; Google in general, but self-driving cars comments to Bloomberg were just off-the-cuff. No big announcement here"
"Tesla priority is electrification of cars, so priority is Model S, Model X, then mass market third gen vehicle &amp; truck"
@rebel_sal exactly
"Creating an autopilot for cars at Tesla is an important, but not yet top priority. Still a few years from production."
@DJFrustration Tested it myself this weekend and was working well. Some songs have licensing prohibiting direct request.
