@elonmusk now 2Pac
California time
Post should go live on Tesla website around 5pm
@vitiral yup
@AnnaDotBlue busted
Except for the tweet about large amounts of crack (actually just small amounts)
Not easy to convey irony in a tweet
@princeghosh97 Lana
Finishing off the plan while listening to the soundtrack from Gatsby. Seems appropriate...
