@danahull Strategic &amp; Policy Forum
"@danmoran3 @redletterdave Exactly. There is no possibility of retraction, but there is possibility of modification.… https://t.co/gWeER63awo"
Please read immigration order. Lmk specific amendments. Will seek advisory council consensus &amp; present to President. https://t.co/qLpbsP4lEk
@ParParV It is not
"Many people negatively affected by this policy are strong supporters of the US. They've done right,not wrong &amp; don't deserve to be rejected."
The blanket entry ban on citizens from certain primarily Muslim countries is not the best way to address the country’s challenges
