RT @OpenAI: We have some fantastic new team members: https://t.co/vvpHyzz9nE. Welcome!
"Really fun Model X review by @MotorTrend. Best part is X racing while towing a fuel sports car
https://t.co/0KzOpoIarx"
RT @nicoleva: @elonmusk daughter of exxon scientist speaks… https://t.co/G4f0iFFfa7
