@mbianchi @andrewket Totally agree. This was a foolish oversight.
@WillFealey At some point. Features are prioritized by importance * number of owners likely to benefit.
@Dem0ney Yeah. That's been on the future feature list for a while. Need to make sure rain sensor doesn't false positive or drain battery.
@_jeffreyr @ThePhoenixFlare @Cupen_Ames @pjfranks1509 Will prob do something like that
@RanRinBC @Cupen_Ames @pjfranks1509 Problem is possible impact on curbs or ground objects with the car itself or door swing arc
"@andrewket Will do. Also, we need to make it a lot easier to adjust the headrest."
"@Cupen_Ames @pjfranks1509 Yeah, it should probably automatically adjust to the user config of whoever is closest to… https://t.co/1B19Da6OLZ"
@pjfranks1509 Good point. We will add that to all cars in one of the upcoming software releases.
