@lessteza control of super powerful AI by a small number of humans is the most proximate concern
Just heard that Norway will ban new sales of fuel cars in 2025. What an amazingly awesome country. You guys rock!! https://t.co/uAXuBkDYuR
"Yay, baby made it home!
https://t.co/KYyUX9zNYD"
"RT @SpaceX: It's a bird, it's a plane... https://t.co/hdpkXTvLm3"
