@BecauseImAsh Yes
"[Warning, this may cause motion sickness or seizures]
This is a test run of our electric sled… https://t.co/vI3hLirzg9"
"The race between Gary, our pet snail who lives in a pineapple, and Godot, our tunnel boring… https://t.co/IES65Y99gJ"
Boring machine segments have been lowered into the starter tunnel. Going through final assembly.… https://t.co/2jg03I7j4n
Cutterhead in operation at standard industry speed. Planning to jack this up by a factor of ten… https://t.co/K8LcnhLCCA
First tunnel for The Boring Company begins ... Full length of first tunnel will run from LAX to… https://t.co/Dbf2nkHfb2
"Entry hole, staging area and starting tunnel for Boring Machine 1 (aka Godot) now complete https://t.co/8taxTMDcDV"
"@samgalaviz_ Tesla needs to iterate fast on solar roof prefab/install technology, so all installs will be done by Tesla techs at first"
