@SundalJ Should all be uploaded by next month
@sureal808 Motor Trend could only achieve 2.4 sec when they tested the Porsche 918
@VoltzCoreAudio I don't know what make you think that's a rocket. It's completely covered in a tarpaulin...
RT @SpaceX: Targeting Feb. 18 for Dragon's next resupply mission to the @Space_Station — our 1st launch from LC-39A at @NASA's Kennedy Spac…
George Schultz and Jim Baker article in @WSJ regarding a carbon tax https://t.co/tf2Urgms85
