RT @insideclimate: BREAKING: Exxon Shareholders Approve Climate Resolution: 62% Call for Disclosure in Landmark Vote https://t.co/5W09f1Ixo…
@schneby Will have no choice but to depart councils in that case
"Don't know which way Paris will go, but I've done all I can to advise directly to POTUS, through others in WH &amp; via councils, that we remain"
@LilEdit @Nalepa And then some
"@Taraustralis @VividSydney Yeah, it was great!"
Piggyback rides around the Opera House https://t.co/Z27JSVBt21
Sydney is such a beautiful city https://t.co/AuCRqFHQwr
