"RT @mayemusk: .@elonmusk &amp;  sons baked cookies. @ToscaMusk's twins, enjoying them. #HappySunday https://t.co/nM8EkBG7kP"
Sunday morning: to bake or not to bake cookies -- that is not even a question. Definitely bake.
RT @SpaceX: First stage landing confirmed on the droneship. Second stage &amp; JCSAT-16 continuing to orbit https://t.co/tdni5406Hi https://t.c…
