"@Lockyep Not allowed, according to HK regulations. Happy to do it if regs change."
We need to do one more minor rev on 8.0 and then will go to wide release in a few weeks
Writing post now with details. Will publish on Tesla website later today.
Major improvements to Autopilot coming with V8.0 and 8.1 software (std OTA update) primarily through advanced processing of radar signals
@newscientist uh oh
