First production cars will be handed over on Sept 29 at our Fremont factory
@ScottLucasNV Definitely
@ScottLucasNV Lithium deal is not exclusive &amp; has many contingencies. The press on this matter is unwarranted.
"@elonmusk $35k price, unveil in March, preorders start then."
"Model 3, our smaller and lower cost sedan will start production in about 2 years. Fully operational Gigafactory needed."
"With same options, Model X is $5k more than an S due to greater size &amp; body complexity. Sig Series is fully loaded, hence high price."
RT @SpaceX: Pad 39A @NASAKennedy will be future home to @Commercial_Crew launches and Falcon Heavy missions http://t.co/ITebIXLzzb
RT @Oprah: Test driving my new Tesla with dealer Dan. Love it!! https://t.co/LHLroJ6Acl
