@elonmusk This is also what I was alluding to by Model 3 part 2
"According to experts, Hyperloop is both obvious and impossible. Maybe pick one or the other? https://t.co/JkRWd0lFS8"
Tesla announcement goes live at 5pm California time. 30 minutes of media Q&amp;A to follow.
Calculated attempt to deceive Florida voters about solar vote uncovered by Miami Herald https://t.co/dvwaU87PmG
RT @zebedee666: @TeslaMotors Autopilot saves another life. Dare folk to RT that as much as previous context-free clickbait https://t.co/d1a…
Tesla does 0-60 mph in 2.7 seconds in the rain https://t.co/Z3YA4igGE1 via @electrekco
