"@cabbey @JeffMcAdams Good point, will add ""cancel nav"" to voice commands"
@EricIdle Too awesome
@Belltower @GarthRedshaw @The1ManHerd Must ipso facto half not bee
"@mashabletech First of all, I cracked a long time ago. That's not news. Second, yes, I can see time. How did you know?"
"@AndrewHaigh Yeah, car should auto play when it gets an exact match, like it does for directions. Will make that change."
@jovanik21 @philwhln Just confirmed the Tesla DJ station works in Canada
@Krishell1985 Cool
"@sakerjacks No, it's not!"
@MichaelGladis Yes
@JeffMcAdams Tap cancel on the screen
"Just tap the voice button on the steering wheel and say ""Play Monty Python"" or ""Navigate home"" or anything. Voice commands work pretty well."
"@EricaBoarman Just depends on whether you like a sedan or SUV. Sedan goes faster, SUV has more room."
"@jschindeler Yeah, coming back"
@symonchester Coming soon!
@castfxman Partly
@The1ManHerd Possibly my favorite skit
@AngBoire Might work in Canada too
@jovanik21 @philwhln I mean also
@markedtek Not yet
@rrosenbl Yeah
"In the US, you can ask your Tesla to play any Monty Python (or other comedy) skit. Doesn't work outside US yet."
"@philwhln It's on the car. Might add it to the Tesla app at some point, so you get it on your phone if you have a Powerwall or Tesla solar."
@DeanDcruz My favorite for sure
Try the new Tesla DJ station on streaming radio
@redletterdave The scene where Brian is saved from the Romans by falling off a tower into a spaceship is the best D… https://t.co/V3XSdyTuWS
"@JohnnyZenith All Falcon Heavy cores should be at the Cape in two to three months, so launch should happen a month after that"
@redletterdave Love Monty Python so much
https://t.co/spUaZYaxgB
"Just wish they would stop sticking pins in voodoo dolls of me. That hurts, ok?"
@johnbiscevic Yeah
@danahull Yeah
These guys want us to die so bad they can taste it
Could be worse https://t.co/CtnkJysquj
@LABJnews We can either give up hope &amp; sit in traffic hell forever or try something new. The odds of success may be… https://t.co/OyUlsFzqWp
