@RuthEdick especially well
@pfierens Logs were downloaded for NHTSA and NTSB. Identical copies to all.
"Good thing about radar is that, unlike lidar (which is visible wavelength), it can see through rain, snow, fog and dust"
@collinalexbell yes
@erik_smith1 @ihavetweets certainly moderate and maybe big advances w no incremental hardware
@ihavetweets effective stereo by comparing data at various points in time while moving
@SimplyDonya elevation too
@DanistopMe only just gained access to physical vehicle
@att1cus86 @DMC_Ryan AP process crash would show up in logs
"Working on using existing Tesla radar by itself (decoupled from camera) w temporal smoothing to create a coarse point cloud, like lidar"
"@DMC_Ryan Maybe didn't realize he turned it off, but the car does issue a loud chime and a visual warning on the instrument cluster."
