HW2 Autopilot software uploading to 1000 cars this eve. Will then hold to verify no field issues and upload to rest of fleet next week.
"@vicentes @DragTimes Late Jan, along with Linux kernel upgrade"
"@DragTimes Yes, but held up by Autopilot . It def works tho in shaving 0.1 sec off 0-60mph &amp; 1/4 mile. If AP goes t… https://t.co/kbV8qGc1A5"
"Resolving an Autopilot HW2 bug that shows up when booting from a subzero cold-soak. If that fix works, software will start uploading tmrw."
