"In ~2 years, summon should work anywhere connected by land &amp; not blocked by borders, eg you're in LA and the car is in NY"
"Tap your phone or key and your car will open the garage door, exit, close the door and come to you. Will do same in reverse for unsummon."
First baby step in Tesla Summon capability now downloading over-the-air with V7.1
