RT @SpaceX: 2nd of 2 satellites from tonight's launch being deployed into supersynchronous transfer orbit https://t.co/p0W8L3uGMP
"Upgrades in the works to allow landing for geo missions: thrust +15%, deep cryo oxygen, upper stage tank vol +10%"
Both satellites deployed on target. Now firing their ion thrusters to reach geo station over Europe &amp; Asia.
Next landing attempt will be 3rd launch from now. Tonight's flight and following one will not have enough propellant.
RT @SpaceX: 3 hours from #Falcon9 launch of 2 communications satellites: ABS 3A &amp; @Eutelsat_SA 115 West B→ http://t.co/tdni5406Hi http://t.…
