"Insurance premiums expected to decline by 80% due to driverless cars 
https://t.co/nuPKOI9v1D"
Letter from basically every scientific org in the United States to Congress about climate change https://t.co/vo1I1HY5fx
Via @NPR: Sun-Powered Airplane Completes Historic Trip Around The World https://t.co/AKe5VRaY5o
