"RT @MrTeller: I like my car.  When Tesla asked me to review the experience, I did. No ad. Unpaid, just because I wanted to.  .http://t.co/x…"
@Meddd__ @aaronpaul_8 Watched the whole series. One of the best tv shows ever.
"@aaronpaul_8 um, thanks, I like your work too"
