"@lukealization No cross feed. It would help performance, but is not needed for these numbers."
@lukealization No physical changes to the engine. This thrust increase is based on delta qual tests. It is just tougher than we thought.
@elonmusk Max performance numbers are for expendable launches. Subtract 30% to 40% for reusable booster payload.
"@mattyteare Basically current, but higher throttle setting. Good performance of recent launches allows us to reduce 3 sigma reserve margin."
Just posted latest max payload capabilities of Falcon 9 and Heavy https://t.co/Z45Y5V7G91
@dannysparker yes
RT @westcoastbill: hm... https://t.co/z8cWjoDusm
@phillipcjackson turns out it doesn't need securing
@Mini_Elon yes
"@vicentes @gdoehne yes, several times"
@jbdeck for sure :)
@Tweetermeyer things like this should be purged shortly
@RokBottomGamers 100+ for almost everything 10+ for heat shields and a few other items.
@VivekMGeorge Zuck doesn't (yet) have a deep tech understanding of AI. I spend hours every week being educated by world's best researchers.
"@gdoehne JCSat is pushing the envelope as a very hot and fast mission, so will land on the droneship. Next land landing in a few months."
@MrBoylan System scan detected only 0.2% of orders with same email and physical address. Those have been purged.
@vigneshraju of course
@maya_kazan Temporary spike in some areas due to X 3rd row seat recall. Should be sorted by June.
