"Launch window always tight when orbital synch needed. In this case, Space Station. For Earth-Sun gravity null point, moon was in the way."
Launch postponed due to lightning from an approaching anvil cloud
Odds of rocket landing successfully today are still less than 50%. The 80% figure by end of year is only bcs many launches ahead.
RT @westcoastbill: an illustrated guide from .@popmech for today's historic @spacex lauch http://t.co/JI4u4KiXwf
"RT @SpaceX: #Falcon9 &amp; #Dragon now vertical in advance of today’s CRS-6 launch, targeted for 4:33pm ET. http://t.co/tdni53IviI http://t.co/…"
RT @SpaceX: Just Read the Instructions on location &amp; ready for tomorrow’s 1st stage landing attempt. http://t.co/tdni53IviI http://t.co/GYe…
Have asked SolarCity if we can do something philanthropic with the CA aqueducts to help the water crisis. Investigating…
