"RT @SpaceX: Close, but no cigar. This time. https://t.co/JowUE6a1D7"
Next rocket landing on drone ship in 2 to 3 weeks w way more hydraulic fluid. At least it shd explode for a diff reason.
@ID_AA_Carmack Full RUD (rapid unscheduled disassembly) event. Ship is fine minor repairs. Exciting day! http://t.co/tIEctHFKHG
@ID_AA_Carmack Residual fuel and oxygen combine http://t.co/5k07SP8M9n
"@ID_AA_Carmack Rocket hits hard at ~45 deg angle, smashing legs and engine section http://t.co/PnzHHluJfG"
"@ID_AA_Carmack Before impact, fins lose power and go hardover. Engines fights to restore, but … http://t.co/94VDi7IEHS"
@ID_AA_Carmack Tks. Turns out we recovered some impact video frames from drone ship. It's kinda begging to be released…
