"Unveil happening at sunset, because that's when ..."
Solar roof plus Powerwall 2.0 launch event will be webcast live on https://t.co/46TXqRrsdr at 5:30pm PDT tomorrow
@JohnGarryVO Several UI improvements across the board in 8.01 (next few weeks) and 8.1 in Dec
"Solar roof unveil now at 5:30pm sharp (need daylight, for obvious reasons) California time tomorrow."
RT @solarcity: Thanks to all our customers! It’s been a great couple of months – we installed more solar than we expected including our 300…
