"Owner video of Autopilot steering to avoid collision with a truck
https://t.co/FZUAXSjlR7"
"Godot https://t.co/BIcT4aMVAz
Full play https://t.co/kjZnbeuuFA"
"Have recently come to appreciate the awesome, absurdist humor of Waiting for Godot. We so often wait, without knowing why, when or where."
@ID_AA_Carmack me too!
