@Richwsadler Does my hivemind count as me?
@Bobby_Gupta Def not ok. Just sent a reminder to Tesla stores that we just want people to look forward to their nex… https://t.co/z4KuEhvl4a
@rishabagrwl2013 In discussions with national govt. Just need a temporary reprieve on local content requirements un… https://t.co/sN53qoOckf
@JayCruicks_ATC What if we just made a mini version of the Tesla Semi?
