@realbhuwan @teslamotors Cool :)
@rebel_sal Just read it. Good piece.
@RealTomLangel Maybe a v long time from now. Paying div is a sign that a company cannot find good ways to spend money.
"@wfww Our software is requesting the right song, but Slacker has a bug in their code. Supposed to be fixed by tomorrow."
@eirene_inc @sciam Interesting piece
RT @sciam: The Long and Arduous Quest to Find Flowing Water on Mars May Be Over (preview) http://t.co/RcnE5zrZ6e
