@John_Gardi your guess is the closest I've seen anyone guess so far. Pod diameter probably around 2m
@schadlu I really hate patents unless critical to company survival. Will publish Hyperloop as open source.
"@TobiasVdb Yes, it is a purely propulsive landing, but using the huge landing gear A frames as air brakes. Landing prop &lt; 5% of vehicle mass"
Will publish Hyperloop alpha design by Aug 12. Critical feedback for improvements would be much appreciated.
"RT @profoundlypaige: @elonmusk http://t.co/nyO4BxYfcz is helpful, as is reiterating that you're about *efficiency*. Most no-brainer compone…"
Just completed full mission duration firing of next gen Falcon 9 booster. V proud of the boost stage team for overcoming many tough issues.
"RT @LeilaniMunter: Dear Oil, I am breaking up with you... http://t.co/D0cxsW6yt1 --- @TeslaMotors @elonmusk @TeslaMotorsClub"
