@tomschouteden @DMC_Ryan @voguemaster @Jalopnik good point
@DMC_Ryan @voguemaster @Jalopnik I think we should be inconsistent in our naming conventions after Model Y
View of Dragon from @Space_Station cupola https://t.co/1HjljLWdFi
We are definitely patenting this idea https://t.co/N46cvN9uX9
@sethpascale @TeslaMotors glad people had a great time!
"@voguemaster @Jalopnik not bad, I like those suggestions"
Gigafactory in units of hamster https://t.co/9BAchcBX73
